"RKW","Longitude","Latitude","Ecotype or Status"
"RKW14215",-71.921328,58.576515,"Pop_6_AtlanticForest"
"RKW7392",-152.359,63.455,"Pop_1_WestForest"
"RKW3760",-152.37,63.876,"Pop_1_WestForest"
"RKW2308",-104.333,60.833,"Removed before Bayenv (Admixed)"
"RKW2140",-117.667,67.333,"Removed before Bayenv (Admixed)"
"RKW2354",-123.333,65.167,"Removed before Bayenv (Admixed)"
"RKW2355",-123.417,65.2,"Removed before Bayenv (Admixed)"
"RKW2352",-104.379753,60.833726,"Removed before Bayenv (Admixed)"
"RKW2026",-115.250,56.550,"Removed before Bayenv (Admixed)"
"RKW7584",-125.568972,64.902413,"Removed before Bayenv (Admixed)"
"RKW7585",-137.333,68.817,"Removed before Bayenv (Admixed)"
"RKW7697",-124.25,57.083,"Removed before Bayenv (Related)"
"RKW367",-72.012857,58.756188,"Removed before Bayenv (Related)"
